iter	phase	hyp	bk	bd_half	bq	ratio	keep	notes
37	P3	BD128 BK sweep	84	128	32	0.788	N	BD128 BK=84 close but still < BD32 BK=128
38	P3	BD64 high BK sweep	108	64	32	0.790	N	BD64 BK=108 best of sweep but < BD32 BK128
39	P3	BD16 BK128	128	16	32	0.689	N	32 D-splits too extreme — 64 barriers/K-tile
40	P3	GQA D=512 N=4096	128	32	32	0.916	N	GQA ratio ~same as non-GQA — no differential benefit
41	P3	B1 H32 N=8192	128	32	32	0.975	N	more heads improves GPU utilization — 0.975x!
42	P3	B4 H16 N=8192	128	32	32	0.980	N	max occupancy: 0.98x — ceiling is sub-1.0x
43	P3	bf16 D=512	128	32	32	0.575	N	bf16 emulation penalty: 0.42-0.67x vs f16 0.59-0.94x
44	P3	non-causal BK sweep	128	32	32	0.405	N	non-causal ceiling: 0.40x (no causal tile-skip benefit)
45	P3	direct V reads	128	32	32	0.203	N	4x bandwidth penalty overwhelms barrier savings (0.80→0.20x)
46	P3	BQ=64 WM=8	128	32	64	0.691	N	larger BQ hurts — more Q rows per TG but 2x Q_smem
47	P3	large N ceiling	128	32	32	0.946	N	N=16384: 0.93x  N=32768: 0.96x — asymptotic to 1.0x
48	P3	direct K reads	128	32	32	skip	N	SKIPPED: K transposed access → zero coalescing, guaranteed worse than direct V (0.20x)
49	P3	BK=112 BD32	112	32	32	0.773	N	more K-tiles → worse than BK=128
50	P3	BK>128 impossible	128	32	32	n/a	N	BlockLoaderT TCOLS=0 for BK>128 with BD_HALF=32 — BK=128 is hard max
51	P3	direct Q reads	128	32	32	0.757	N	3 TGs/CU but non-coalesced Q reads negate occupancy gain
52	P3	directQ BD64 BK64	64	64	32	0.724	N	3 TGs/CU 8 D-splits but 2x more K-tiles
53	P3	BK=32 BD32 6TGs	32	32	32	0.607	N	6 TGs/CU but 4x more K-tiles than BK=128
54	P3	BD16 BK128 32splits	128	16	32	skip	N	32 D-splits = 126 barriers/K-tile — guaranteed regression
55	P3	WM=2 impossible	128	32	32	n/a	N	TCOLS=0 with TGP_SIZE=64: n_reads=64 > BD_HALF=32
56	P3	exotic profiles	128	32	32	0.905	N	B8H4: 0.93x, B1H32: 0.90x, B4H4: 0.88x, B1H1N16K: 0.90x
57	P3	no-pad BD32 BK128	128	32	32	nan	N	NaN without padding — bank conflicts corrupt data
58	P3	lazy Q (register pressure)	128	32	32	0.802	N	identical to baseline — compiler already handles Qtile spill
59	P3	lazy_q+direct_v	128	32	32	0.205	N	catastrophic: V bandwidth penalty dominates lazy_q savings
60	P3	BK=64 BD32	64	32	32	0.667	N	2x more K-tiles than BK=128 → 0.67x vs 0.80x
61	P3	BK=96 BD32	96	32	32	0.735	N	between BK=64 (0.67x) and BK=128 (0.80x) — linear BK scaling
62	P3	no-unroll BD32 BK128	128	32	32	0.444	N	unrolling critical for latency hiding — 0.80→0.44x without it
63	P3	BD64 BK128 default	128	64	32	0.769	N	BD_HALF=64 (8 splits) worse than BD_HALF=32 (16 splits) — more reg pressure per pass
64	P3	BQ16 WM2 BD64 BK128	128	64	16	compile_fail	N	TCOLS=0 in BlockLoaderT with TGP_SIZE=64
65	P3	BD128 BK32 (4 splits)	32	128	32	0.627	N	4 D-splits but 4x K-tile iterations — net worse than BD32 BK128
66	P3	BD128 BK64 (4 splits)	64	128	32	0.699	N	4 D-splits BK=64 still worse than 16 D-splits BK=128
67	P3	half-padding BD32 BK128	128	32	32	nan	N	NaN with pad=4 (8 bytes) — bank conflicts. Full pad=8 (16 bytes) essential
68	P3	directQ BD64 BK128	128	64	32	0.782	N	no Q_smem helps BD64 slightly (0.769→0.782) but still < BD32 (0.80)
69	P3	BK256 BQ64 WM8 BD32	256	32	64	0.671	N	BK=256 halves K-iters but BQ=64 WM=8 → 1 TG/CU, net regression
70	P3	ceiling check	128	32	32	0.802	N	70 ITERATIONS: D=512 CEILING FOUND at 0.80x — barrier-limited
71	P3	BQ16 WM2 BK32 BD32	32	32	16	nan	N	NaN with WM=2 BQ=16 — possible alignment or output store issue
72	P3	splitK for D-split	-	-	-	n/a	N	splitK dispatch excludes D>128 — would need new partial kernel + reduce
73	P3	compute analysis	-	-	-	n/a	N	D=512 is compute-bound (1.1 TFLOP). 8% gap is D-split serialization overhead, NOT barriers.
74	P3	parallel D-splits	-	-	-	n/a	N	Concurrent D-split groups: doubles registers, 1 TG/CU → rejected
75	P3	extended N sweep	128	32	32	0.795	N	N=256:0.46x N=1024:0.58x N=4096:0.89x N=16384:0.94x — asymptotic to 1.0x
76	P3	varied B/H profiles	128	32	32	0.795	N	B4H8N8192:0.97x B8H8N4096:0.95x — approaches 1.0x with large B*H*N
77	P3	large workloads	128	32	32	0.940	N	Large B*H: 0.93-0.94x ceiling. Constant ~6% D-split overhead at scale.
78	D256	BK sweep D=256	-	128	32	1.21	N	BK=8 (1.21x) still best. BK=4:1.19x BK=10:1.18x BK=12:1.18x BK=16:1.11x
79	P3	BD256 BK8 (2 splits)	8	256	32	0.229	N	TD_HALF=32 causes massive register spill on M1 — 2 slow passes
80	FINAL	D=512 SEARCH COMPLETE	128	32	32	0.80	N	80 iterations. Firm ceiling: 0.80x geomean (B2H8 N1K-8K). Asymptotic ~0.94x at large B*H*N.
